"Reference";"Qty";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Datasheet"
"C1,C2,C3,C4,C5,C6";"6";"10uF";"";"";"";"Capacitor_SMD:C_1210_3225Metric";"~"
"D1,D2,D3";"3";"D_Schottky";"";"";"";"Diode_SMD:D_SOD-123";"~"
"H1,H2,H3,H4";"4";"MountingHole_Pad";"";"Excluded from BOM";"";"MountingHole:MountingHole_4.3mm_M4_Pad_Via";"~"
"J1";"1";"Screw_Terminal_01x02";"";"";"";"TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal";"~"
"J2";"1";"Screw_Terminal_01x06";"";"";"";"TerminalBlock:TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal";"~"
"J4";"1";"Conn_01x04";"";"";"";"Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical";"~"
"L1,L2,L3";"3";"100uH";"";"";"";"Inductor_SMD:L_SOREDE_SNR.1050_10x10x5mm";"~"
"R1,R3,R4";"3";"10k";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"R2,R5,R6";"3";"0.3";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"U1,U2,U3";"3";"PT4115";"";"";"";"Package_TO_SOT_SMD:SOT-89-5";"https://www.alldatasheet.com/datasheet-pdf/view/1141911/ETC2/PT4115.html"
